amfi_code,stock_symbol,stock_name,sector,weight_pct,market_value_cr,current_price_inr,portfolio_date
119551,POWERGRID,Power Grid Corporation,Utilities,13.85,737.09,6011.08,2025-12-31
119551,HDFCBANK,HDFC Bank Ltd,Banking,11.19,88.97,1074.65,2025-12-31
119551,GRASIM,Grasim Industries Ltd,Diversified,9.9,208.45,5964.59,2025-12-31
119551,DRREDDY,Dr. Reddy's Laboratories,Pharma,4.76,161.32,3748.82,2025-12-31
119551,ASIANPAINT,Asian Paints Ltd,Paints,10.25,725.9,1321.45,2025-12-31
119551,NTPC,NTPC Ltd,Utilities,7.48,897.7,2913.66,2025-12-31
119551,DIVISLAB,Divi's Laboratories,Pharma,3.21,286.44,3964.01,2025-12-31
119551,BHARTIARTL,Bharti Airtel Ltd,Telecom,13.94,452.19,5013.45,2025-12-31
119551,HCLTECH,HCL Technologies Ltd,IT,18.22,177.35,6024.13,2025-12-31
119551,MARUTI,Maruti Suzuki India Ltd,Automobile,7.2,1982.33,5461.85,2025-12-31
119552,INFY,Infosys Ltd,IT,10.55,316.08,7088.71,2025-12-31
119552,POWERGRID,Power Grid Corporation,Utilities,5.52,669.58,3434.04,2025-12-31
119552,DRREDDY,Dr. Reddy's Laboratories,Pharma,6.25,316.84,5910.04,2025-12-31
119552,ICICIBANK,ICICI Bank Ltd,Banking,10.19,1006.69,4142.59,2025-12-31
119552,TATAMOTOR,Tata Motors Ltd,Automobile,17.88,484.41,4065.77,2025-12-31
119552,MARUTI,Maruti Suzuki India Ltd,Automobile,14.6,1142.07,7620.26,2025-12-31
119552,CIPLA,Cipla Ltd,Pharma,10.44,1019.41,7934.38,2025-12-31
119552,DIVISLAB,Divi's Laboratories,Pharma,7.39,208.3,1889.75,2025-12-31
119552,BAJFINANCE,Bajaj Finance Ltd,NBFC,5.86,1103.07,2693.54,2025-12-31
119552,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,6.14,1136.79,6386.95,2025-12-31
119552,ULTRACEMCO,UltraTech Cement Ltd,Cement,5.19,780.54,927.58,2025-12-31
119598,WIPRO,Wipro Ltd,IT,13.66,869.0,3504.41,2025-12-31
119598,TCS,Tata Consultancy Services,IT,3.02,988.24,2581.1,2025-12-31
119598,GRASIM,Grasim Industries Ltd,Diversified,7.14,132.34,4515.26,2025-12-31
119598,RELIANCE,Reliance Industries Ltd,Energy,16.5,321.12,315.19,2025-12-31
119598,ULTRACEMCO,UltraTech Cement Ltd,Cement,5.32,1392.64,7901.22,2025-12-31
119598,INFY,Infosys Ltd,IT,15.16,1210.68,7724.16,2025-12-31
119598,M&M,Mahindra & Mahindra Ltd,Automobile,8.18,1492.26,660.82,2025-12-31
119598,AXISBANK,Axis Bank Ltd,Banking,10.96,1665.15,2235.83,2025-12-31
119598,KOTAKBANK,Kotak Mahindra Bank,Banking,3.56,682.95,2504.73,2025-12-31
119598,POWERGRID,Power Grid Corporation,Utilities,7.19,751.31,1707.64,2025-12-31
119598,NTPC,NTPC Ltd,Utilities,5.59,1927.98,7369.33,2025-12-31
119598,TATAMOTOR,Tata Motors Ltd,Automobile,3.71,1751.14,5299.51,2025-12-31
119599,TITAN,Titan Company Ltd,Consumer Goods,10.69,1644.24,7387.94,2025-12-31
119599,ICICIBANK,ICICI Bank Ltd,Banking,18.56,1254.17,3482.69,2025-12-31
119599,RELIANCE,Reliance Industries Ltd,Energy,13.47,1487.95,4137.4,2025-12-31
119599,DRREDDY,Dr. Reddy's Laboratories,Pharma,3.24,1716.42,1982.11,2025-12-31
119599,TATAMOTOR,Tata Motors Ltd,Automobile,6.74,926.23,7738.2,2025-12-31
119599,HINDUNILVR,Hindustan Unilever Ltd,FMCG,3.53,1123.22,5235.31,2025-12-31
119599,INDUSINDBK,IndusInd Bank Ltd,Banking,15.52,825.04,5180.82,2025-12-31
119599,GRASIM,Grasim Industries Ltd,Diversified,28.25,1461.32,1872.83,2025-12-31
100016,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,11.53,398.6,2074.55,2025-12-31
100016,CIPLA,Cipla Ltd,Pharma,4.92,1325.34,4188.12,2025-12-31
100016,ICICIBANK,ICICI Bank Ltd,Banking,3.39,169.92,4888.66,2025-12-31
100016,WIPRO,Wipro Ltd,IT,25.9,552.43,579.31,2025-12-31
100016,NTPC,NTPC Ltd,Utilities,5.61,1102.98,6325.9,2025-12-31
100016,BAJFINANCE,Bajaj Finance Ltd,NBFC,7.01,214.89,592.41,2025-12-31
100016,HINDUNILVR,Hindustan Unilever Ltd,FMCG,11.68,1590.03,2555.06,2025-12-31
100016,RELIANCE,Reliance Industries Ltd,Energy,6.09,327.86,6859.37,2025-12-31
100016,DRREDDY,Dr. Reddy's Laboratories,Pharma,9.03,452.67,2212.6,2025-12-31
100016,MARUTI,Maruti Suzuki India Ltd,Automobile,14.84,486.21,5808.83,2025-12-31
125497,TITAN,Titan Company Ltd,Consumer Goods,12.53,422.11,2280.96,2025-12-31
125497,WIPRO,Wipro Ltd,IT,12.03,1652.67,1030.72,2025-12-31
125497,BAJFINANCE,Bajaj Finance Ltd,NBFC,10.03,115.8,7583.81,2025-12-31
125497,NESTLEIND,Nestle India Ltd,FMCG,11.81,127.73,1212.79,2025-12-31
125497,GRASIM,Grasim Industries Ltd,Diversified,19.04,817.9,1083.31,2025-12-31
125497,ULTRACEMCO,UltraTech Cement Ltd,Cement,5.02,1316.71,4748.8,2025-12-31
125497,NTPC,NTPC Ltd,Utilities,14.65,985.86,341.2,2025-12-31
125497,INFY,Infosys Ltd,IT,14.89,1542.92,7905.86,2025-12-31
100033,INFY,Infosys Ltd,IT,4.66,708.39,7817.51,2025-12-31
100033,AXISBANK,Axis Bank Ltd,Banking,18.21,1815.93,7431.94,2025-12-31
100033,LT,Larsen & Toubro Ltd,Infrastructure,7.47,1289.6,7294.22,2025-12-31
100033,ICICIBANK,ICICI Bank Ltd,Banking,7.47,786.14,6616.01,2025-12-31
100033,BHARTIARTL,Bharti Airtel Ltd,Telecom,7.38,1247.79,3725.91,2025-12-31
100033,M&M,Mahindra & Mahindra Ltd,Automobile,26.07,511.03,3852.87,2025-12-31
100033,BAJFINANCE,Bajaj Finance Ltd,NBFC,9.86,419.76,2737.28,2025-12-31
100033,POWERGRID,Power Grid Corporation,Utilities,8.59,569.08,5010.14,2025-12-31
100033,SBIN,State Bank of India,Banking,10.29,235.31,3644.77,2025-12-31
125498,SBIN,State Bank of India,Banking,9.4,390.87,4339.96,2025-12-31
125498,ICICIBANK,ICICI Bank Ltd,Banking,8.97,564.07,2425.12,2025-12-31
125498,HINDUNILVR,Hindustan Unilever Ltd,FMCG,7.8,1897.59,6636.11,2025-12-31
125498,HDFCBANK,HDFC Bank Ltd,Banking,22.83,1274.05,3962.89,2025-12-31
125498,LT,Larsen & Toubro Ltd,Infrastructure,9.17,1748.94,7328.02,2025-12-31
125498,MARUTI,Maruti Suzuki India Ltd,Automobile,6.39,448.66,3097.29,2025-12-31
125498,TITAN,Titan Company Ltd,Consumer Goods,20.91,1577.15,7496.9,2025-12-31
125498,HCLTECH,HCL Technologies Ltd,IT,14.53,960.23,5902.74,2025-12-31
120503,GRASIM,Grasim Industries Ltd,Diversified,15.87,994.44,897.71,2025-12-31
120503,INFY,Infosys Ltd,IT,5.68,746.26,7776.51,2025-12-31
120503,RELIANCE,Reliance Industries Ltd,Energy,9.26,1189.39,643.27,2025-12-31
120503,TITAN,Titan Company Ltd,Consumer Goods,15.92,723.14,4111.6,2025-12-31
120503,NESTLEIND,Nestle India Ltd,FMCG,20.69,1320.03,5881.86,2025-12-31
120503,HINDUNILVR,Hindustan Unilever Ltd,FMCG,9.98,1137.55,5673.15,2025-12-31
120503,M&M,Mahindra & Mahindra Ltd,Automobile,10.22,1840.52,3918.12,2025-12-31
120503,BHARTIARTL,Bharti Airtel Ltd,Telecom,12.38,1672.96,4357.85,2025-12-31
120504,KOTAKBANK,Kotak Mahindra Bank,Banking,14.52,1784.84,6042.94,2025-12-31
120504,NTPC,NTPC Ltd,Utilities,8.76,675.97,2243.21,2025-12-31
120504,POWERGRID,Power Grid Corporation,Utilities,17.37,1715.09,4875.9,2025-12-31
120504,BAJFINANCE,Bajaj Finance Ltd,NBFC,9.17,168.11,246.78,2025-12-31
120504,ICICIBANK,ICICI Bank Ltd,Banking,7.92,1664.45,4329.15,2025-12-31
120504,ULTRACEMCO,UltraTech Cement Ltd,Cement,7.07,1236.71,1131.45,2025-12-31
120504,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,7.15,1433.51,3674.34,2025-12-31
120504,AXISBANK,Axis Bank Ltd,Banking,13.17,1179.97,3761.76,2025-12-31
120504,BHARTIARTL,Bharti Airtel Ltd,Telecom,5.92,1250.03,5095.49,2025-12-31
120504,NESTLEIND,Nestle India Ltd,FMCG,3.81,1011.98,5761.32,2025-12-31
120504,TATAMOTOR,Tata Motors Ltd,Automobile,5.15,723.84,1687.26,2025-12-31
120505,TATAMOTOR,Tata Motors Ltd,Automobile,17.66,1067.82,6627.79,2025-12-31
120505,ASIANPAINT,Asian Paints Ltd,Paints,5.99,286.97,5145.8,2025-12-31
120505,NTPC,NTPC Ltd,Utilities,15.41,1542.02,3231.58,2025-12-31
120505,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,7.25,312.23,520.75,2025-12-31
120505,NESTLEIND,Nestle India Ltd,FMCG,4.96,585.69,5061.02,2025-12-31
120505,KOTAKBANK,Kotak Mahindra Bank,Banking,8.0,419.93,1215.8,2025-12-31
120505,CIPLA,Cipla Ltd,Pharma,17.29,55.74,3002.79,2025-12-31
120505,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,23.46,598.91,6868.09,2025-12-31
120506,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,9.39,1123.73,5520.27,2025-12-31
120506,ULTRACEMCO,UltraTech Cement Ltd,Cement,18.4,844.83,1002.08,2025-12-31
120506,BAJFINANCE,Bajaj Finance Ltd,NBFC,7.84,1369.31,4557.66,2025-12-31
120506,RELIANCE,Reliance Industries Ltd,Energy,1.73,551.04,2246.21,2025-12-31
120506,ICICIBANK,ICICI Bank Ltd,Banking,8.93,274.26,4061.08,2025-12-31
120506,KOTAKBANK,Kotak Mahindra Bank,Banking,21.47,1709.46,1499.37,2025-12-31
120506,HCLTECH,HCL Technologies Ltd,IT,4.34,1142.6,5665.46,2025-12-31
120506,HINDUNILVR,Hindustan Unilever Ltd,FMCG,6.98,1436.98,7015.53,2025-12-31
120506,LT,Larsen & Toubro Ltd,Infrastructure,20.94,1413.66,4390.56,2025-12-31
118632,GRASIM,Grasim Industries Ltd,Diversified,11.98,599.35,7649.77,2025-12-31
118632,ICICIBANK,ICICI Bank Ltd,Banking,10.91,725.38,4476.73,2025-12-31
118632,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,4.44,719.2,2224.5,2025-12-31
118632,HDFCBANK,HDFC Bank Ltd,Banking,6.57,1774.48,398.27,2025-12-31
118632,DIVISLAB,Divi's Laboratories,Pharma,9.85,1069.59,7863.69,2025-12-31
118632,NESTLEIND,Nestle India Ltd,FMCG,13.33,857.97,1607.57,2025-12-31
118632,BHARTIARTL,Bharti Airtel Ltd,Telecom,30.44,1574.52,6271.17,2025-12-31
118632,SUNPHARMA,Sun Pharmaceutical Industries,Pharma,12.5,1293.86,5022.73,2025-12-31
118633,HCLTECH,HCL Technologies Ltd,IT,11.14,1999.5,2556.23,2025-12-31
118633,TITAN,Titan Company Ltd,Consumer Goods,12.43,1593.88,3276.69,2025-12-31
118633,HDFCBANK,HDFC Bank Ltd,Banking,3.46,1623.67,4895.39,2025-12-31
118633,WIPRO,Wipro Ltd,IT,14.41,681.49,1451.32,2025-12-31
118633,M&M,Mahindra & Mahindra Ltd,Automobile,3.27,755.82,2168.75,2025-12-31
118633,AXISBANK,Axis Bank Ltd,Banking,20.73,1703.38,6184.87,2025-12-31
118633,INDUSINDBK,IndusInd Bank Ltd,Banking,5.4,501.53,3746.36,2025-12-31
118633,KOTAKBANK,Kotak Mahindra Bank,Banking,4.59,1071.93,5455.62,2025-12-31
118633,HINDUNILVR,Hindustan Unilever Ltd,FMCG,4.25,550.74,317.36,2025-12-31
118633,DIVISLAB,Divi's Laboratories,Pharma,10.94,863.48,2546.04,2025-12-31
118633,BAJFINANCE,Bajaj Finance Ltd,NBFC,9.38,442.46,920.38,2025-12-31
118634,HINDUNILVR,Hindustan Unilever Ltd,FMCG,11.64,64.71,7810.17,2025-12-31
118634,MARUTI,Maruti Suzuki India Ltd,Automobile,8.09,418.49,1132.14,2025-12-31
118634,ULTRACEMCO,UltraTech Cement Ltd,Cement,8.68,784.14,1362.25,2025-12-31
118634,BHARTIARTL,Bharti Airtel Ltd,Telecom,3.13,1508.16,7745.28,2025-12-31
118634,TITAN,Titan Company Ltd,Consumer Goods,12.26,1344.96,4192.5,2025-12-31
118634,AXISBANK,Axis Bank Ltd,Banking,11.75,1855.52,5167.42,2025-12-31
118634,NESTLEIND,Nestle India Ltd,FMCG,13.59,1354.21,7435.21,2025-12-31
118634,INDUSINDBK,IndusInd Bank Ltd,Banking,8.64,919.11,1123.63,2025-12-31
118634,ADANIPORT,Adani Ports & SEZ Ltd,Infrastructure,9.9,538.23,3625.67,2025-12-31
118634,WIPRO,Wipro Ltd,IT,12.32,962.56,3849.96,2025-12-31
118635,ASIANPAINT,Asian Paints Ltd,Paints,14.28,1471.49,1563.4,2025-12-31
118635,HCLTECH,HCL Technologies Ltd,IT,13.45,1306.84,7309.59,2025-12-31
118635,TCS,Tata Consultancy Services,IT,15.83,740.95,6309.28,2025-12-31
118635,SBIN,State Bank of India,Banking,17.85,1142.64,1403.66,2025-12-31
118635,BAJFINANCE,Bajaj Finance Ltd,NBFC,8.39,1806.09,5326.12,2025-12-31
118635,WIPRO,Wipro Ltd,IT,10.07,1410.83,3004.71,2025-12-31
118635,ULTRACEMCO,UltraTech Cement Ltd,Cement,14.01,925.24,3562.88,2025-12-31
118635,TITAN,Titan Company Ltd,Consumer Goods,6.11,378.83,7044.44,2025-12-31
120841,SBIN,State Bank of India,Banking,3.88,418.09,6173.2,2025-12-31
120841,GRASIM,Grasim Industries Ltd,Diversified,3.95,948.58,7250.24,2025-12-31
120841,NESTLEIND,Nestle India Ltd,FMCG,4.74,1070.67,6351.14,2025-12-31
120841,POWERGRID,Power Grid Corporation,Utilities,5.39,1416.64,3952.67,2025-12-31
120841,RELIANCE,Reliance Industries Ltd,Energy,9.48,1903.14,5923.09,2025-12-31
120841,DRREDDY,Dr. Reddy's Laboratories,Pharma,7.12,1874.06,6342.27,2025-12-31
120841,NTPC,NTPC Ltd,Utilities,18.4,1521.12,3894.14,2025-12-31
120841,DIVISLAB,Divi's Laboratories,Pharma,20.34,1740.32,1130.72,2025-12-31
120841,TATAMOTOR,Tata Motors Ltd,Automobile,4.27,1455.31,5157.09,2025-12-31
120841,INDUSINDBK,IndusInd Bank Ltd,Banking,22.44,1315.89,4881.46,2025-12-31
120842,TATAMOTOR,Tata Motors Ltd,Automobile,19.5,1157.32,5915.73,2025-12-31
